texture_consistency,eye_blink_frequency,facial_boundary_consistency,color_consistency,lighting_consistency,noise_pattern_consistency,motion_smoothness,micro_expression_presence,compression_artifacts,background_foreground_consistency,label,is_real
0.15834384475434954,0.48376802610924363,0.4843889215628995,0.9479964455767795,0.15111429564004153,0.39990963791961537,0.11338876305312218,0.2994473489807629,0.5558826201910652,0.5093403854141484,0.0,Fake
0.9476091098451489,0.7796399407038599,1.0,0.6466218272865648,1.0,0.7796866175193972,0.6522872994578327,0.7503370090337577,0.6438639644068133,0.8136248919602874,1.0,Real
0.9158288899436976,0.928054545834057,0.8458095333043777,0.5785492630904274,0.9950147298451644,0.5780481910471968,0.795395319785855,0.6420211232496577,0.5654708382217839,0.799314361545522,1.0,Real
0.6092012773472681,0.24239044830197226,0.5095687559791533,0.7241949313994043,0.3590982952661504,0.4616672846423411,0.721329487312391,0.25364680578130494,0.4148917208705034,0.0,0.0,Fake
0.5132253074041622,0.06095894711755484,0.4832539344087046,0.8463570066503875,0.4654727050213323,0.3242681107295888,0.6313869491783501,0.25317630108303646,0.541053847441441,0.3422514210020914,0.0,Fake
0.7219692533757961,0.6840403412588738,0.9670466826530599,0.7794832164767362,0.9047766809202953,0.5271659440444543,0.7900575398803888,0.6771849134436696,0.4862632573991027,0.9098220562598027,1.0,Real
0.3986145278109712,0.3285470468378116,0.5940565792835434,0.7154376085784855,0.1974961521706803,0.5572605784144959,0.23089301296322812,0.5301066154663183,0.6898871966017419,0.26964099461167323,0.0,Fake
0.6125712126778137,0.6252266687654333,0.7399232564925967,0.6426360016333872,0.852307809856893,0.9730869233003892,0.6629920137944936,0.647339072924273,0.23107933500106714,0.8208003406378912,1.0,Real
0.6977021798388211,0.6976113443522357,0.7017547423173927,1.0,0.807290317834733,0.8145062470786605,0.9045425181047764,0.43526226821644953,0.09823965126704598,0.7205475226372533,1.0,Real
0.6804873460781307,0.6801405369644615,0.7862943407349051,0.4630079633013303,0.4912623251230451,0.6656568706138541,0.5980753319498364,0.5593171783232292,0.415356581675844,0.5381544447997063,1.0,Real
0.7904956313905611,0.2504858323229585,0.1935993014977926,0.7571167107047577,0.0,0.4443084760836411,0.0,0.10431123374684745,0.0,0.3327860614418214,0.0,Fake
0.7793767882646523,0.6032440833577453,0.8112379133571708,0.49461245936432396,0.9043733455988465,0.8208896223619564,0.7884044601470813,0.33892525323175154,0.6025757600554988,0.9021555097527195,1.0,Real
0.7062283096626684,0.5155213786955015,0.8824664665720738,0.7383244204480797,0.7229280129614062,1.0,0.7948129362548529,0.23507199249072636,0.4191060028983543,0.9222668563795132,1.0,Real
